t,h
131102,9
131133,8
131164,8
131195,8
131226,9
131257,9
131288,9
131319,9
131350,9
131381,9
131412,8
131443,8
131474,8
131505,9
131536,9
131567,9
131598,8
131629,8
131660,8
131691,7
131722,8
131760,8
131791,8
131822,9
131853,9
131884,9
131915,9
131946,9
131977,9
132008,9
132039,9
132070,8
132101,8
132132,8
132163,7
132194,8
132225,10
132256,10
132287,12
132318,19
132349,20
132380,20
132411,21
132442,26
132473,26
132504,32
132542,37
132573,39
132604,43
132635,49
132666,53
132697,59
132728,64
132759,69
132790,74
132821,79
132852,85
132883,255
132914,255
132945,255
132976,97
133007,97
133038,98
133069,255
133100,255
133131,255
133162,255
133193,98
133231,255
133262,98
133293,97
133324,98
133355,255
133386,255
133417,255
133448,255
133479,255
133510,255
133541,255
133572,255
133603,98
133634,97
133665,97
133696,97
133727,98
133758,97
133789,97
133820,97
133851,97
133882,97
133913,98
133951,97
133982,97
134013,98
13404
